,endDate,msPlayed,userID,month,day
344,2023-07-17,472756,1,2023-07,17
345,2023-07-17,4623121,0,2023-07,17
346,2023-07-18,3310023,1,2023-07,18
347,2023-07-18,4404807,0,2023-07,18
348,2023-07-18,9117819,2,2023-07,18
349,2023-07-19,3328161,1,2023-07,19
350,2023-07-19,5123632,2,2023-07,19
351,2023-07-19,1287600,0,2023-07,19
352,2023-07-20,6541079,2,2023-07,20
353,2023-07-20,569229,1,2023-07,20
354,2023-07-20,3802449,0,2023-07,20
355,2023-07-21,3382033,1,2023-07,21
356,2023-07-21,2238944,0,2023-07,21
357,2023-07-21,10096033,2,2023-07,21
358,2023-07-22,9653356,1,2023-07,22
359,2023-07-22,11675245,2,2023-07,22
360,2023-07-22,5770133,0,2023-07,22
361,2023-07-23,3983714,1,2023-07,23
362,2023-07-23,1868914,2,2023-07,23
363,2023-07-24,1296216,0,2023-07,24
364,2023-07-24,1766160,1,2023-07,24
365,2023-07-24,8707034,2,2023-07,24
366,2023-07-25,2182119,0,2023-07,25
367,2023-07-25,3602529,1,2023-07,25
368,2023-07-25,48859404,2,2023-07,25
369,2023-07-26,2823191,0,2023-07,26
370,2023-07-26,27861044,2,2023-07,26
371,2023-07-26,1770829,1,2023-07,26
372,2023-07-27,3081654,0,2023-07,27
373,2023-07-27,15348195,2,2023-07,27
374,2023-07-27,1163225,1,2023-07,27
375,2023-07-28,384,1,2023-07,28
376,2023-07-28,4818741,2,2023-07,28
377,2023-07-29,2070694,0,2023-07,29
378,2023-07-29,4791561,1,2023-07,29
379,2023-07-29,913632,2,2023-07,29
380,2023-07-30,15821114,2,2023-07,30
381,2023-07-30,2611645,1,2023-07,30
382,2023-07-31,4449547,1,2023-07,31
383,2023-07-31,2040569,0,2023-07,31
384,2023-07-31,4460389,2,2023-07,31
385,2023-08-01,1205488,2,2023-08,1
386,2023-08-01,479660,1,2023-08,1
387,2023-08-02,4057908,0,2023-08,2
388,2023-08-02,21217,1,2023-08,2
389,2023-08-02,2933120,2,2023-08,2
390,2023-08-03,8441519,0,2023-08,3
391,2023-08-03,1536488,1,2023-08,3
392,2023-08-03,2102442,2,2023-08,3
393,2023-08-04,6638740,2,2023-08,4
394,2023-08-04,1172457,0,2023-08,4
395,2023-08-04,7155413,1,2023-08,4
396,2023-08-05,3227049,2,2023-08,5
397,2023-08-05,1010476,0,2023-08,5
398,2023-08-05,3673214,1,2023-08,5
399,2023-08-06,6991772,1,2023-08,6
400,2023-08-06,4040095,0,2023-08,6
401,2023-08-06,3272313,2,2023-08,6
402,2023-08-07,4360382,2,2023-08,7
403,2023-08-07,1325489,1,2023-08,7
404,2023-08-08,1563493,1,2023-08,8
405,2023-08-08,8219206,2,2023-08,8
406,2023-08-08,3551394,0,2023-08,8
407,2023-08-09,6032463,2,2023-08,9
408,2023-08-09,1368580,0,2023-08,9
409,2023-08-09,1046827,1,2023-08,9
410,2023-08-10,1319275,0,2023-08,10
411,2023-08-10,1811014,1,2023-08,10
412,2023-08-11,260432,0,2023-08,11
413,2023-08-11,255595,2,2023-08,11
414,2023-08-11,3715510,1,2023-08,11
415,2023-08-12,2223758,0,2023-08,12
416,2023-08-13,1089313,2,2023-08,13
417,2023-08-13,3570436,1,2023-08,13
418,2023-08-14,1912741,1,2023-08,14
419,2023-08-14,6028880,0,2023-08,14
420,2023-08-14,7896789,2,2023-08,14
421,2023-08-15,8444709,2,2023-08,15
422,2023-08-15,3827635,1,2023-08,15
423,2023-08-15,7853829,0,2023-08,15
424,2023-08-16,4524003,1,2023-08,16
425,2023-08-16,2550122,0,2023-08,16
426,2023-08-16,8741031,2,2023-08,16
427,2023-08-17,2183149,1,2023-08,17
428,2023-08-17,3820192,2,2023-08,17
429,2023-08-17,400719,0,2023-08,17
430,2023-08-18,6133398,1,2023-08,18
431,2023-08-18,6091263,2,2023-08,18
432,2023-08-18,2776034,0,2023-08,18
433,2023-08-19,7454626,1,2023-08,19
434,2023-08-19,3754711,0,2023-08,19
435,2023-08-19,5954020,2,2023-08,19
436,2023-08-20,17514,1,2023-08,20
437,2023-08-20,3440228,0,2023-08,20
438,2023-08-20,3916860,2,2023-08,20
439,2023-08-21,631568,2,2023-08,21
440,2023-08-21,2746412,0,2023-08,21
441,2023-08-22,240118,1,2023-08,22
442,2023-08-22,1214118,0,2023-08,22
443,2023-08-22,16973,2,2023-08,22
444,2023-08-22,4802656,2,2023-08,22
445,2023-08-23,276659,0,2023-08,23
446,2023-08-23,920192,2,2023-08,23
447,2023-08-24,2948058,1,2023-08,24
448,2023-08-24,9956686,0,2023-08,24
449,2023-08-25,6807,0,2023-08,25
450,2023-08-25,750328,2,2023-08,25
451,2023-08-25,2863515,1,2023-08,25
452,2023-08-26,8210002,2,2023-08,26
453,2023-08-26,4038082,1,2023-08,26
454,2023-08-26,2474830,0,2023-08,26
455,2023-08-27,1684896,1,2023-08,27
456,2023-08-27,4588015,2,2023-08,27
457,2023-08-28,6116274,0,2023-08,28
458,2023-08-28,6719803,2,2023-08,28
459,2023-08-28,2796021,1,2023-08,28
460,2023-08-29,8228338,0,2023-08,29
461,2023-08-29,1511509,2,2023-08,29
462,2023-08-30,3271828,0,2023-08,30
463,2023-08-30,229200,2,2023-08,30
464,2023-08-31,7156222,2,2023-08,31
465,2023-08-31,4083059,0,2023-08,31
466,2023-09-01,2809580,0,2023-09,1
467,2023-09-01,2548584,1,2023-09,1
468,2023-09-01,5204900,2,2023-09,1
469,2023-09-02,2538367,1,2023-09,2
470,2023-09-02,5473527,2,2023-09,2
471,2023-09-03,4053270,1,2023-09,3
472,2023-09-03,3881604,0,2023-09,3
473,2023-09-04,4577845,2,2023-09,4
474,2023-09-04,2761885,0,2023-09,4
475,2023-09-05,6109586,2,2023-09,5
476,2023-09-05,2087157,0,2023-09,5
477,2023-09-06,2206342,1,2023-09,6
478,2023-09-06,6574274,2,2023-09,6
479,2023-09-06,3582530,0,2023-09,6
480,2023-09-07,6882122,2,2023-09,7
481,2023-09-07,1180766,1,2023-09,7
482,2023-09-07,4482141,0,2023-09,7
483,2023-09-08,1098425,2,2023-09,8
484,2023-09-08,2693153,1,2023-09,8
485,2023-09-08,6582951,0,2023-09,8
486,2023-09-09,1715158,0,2023-09,9
487,2023-09-09,16102739,2,2023-09,9
488,2023-09-09,21589,1,2023-09,9
489,2023-09-10,1294055,2,2023-09,10
490,2023-09-10,420931,1,2023-09,10
491,2023-09-10,2967490,0,2023-09,10
492,2023-09-11,9516998,2,2023-09,11
493,2023-09-11,3187019,0,2023-09,11
494,2023-09-12,2424940,0,2023-09,12
495,2023-09-12,5909751,2,2023-09,12
496,2023-09-13,1409865,1,2023-09,13
497,2023-09-13,2969869,0,2023-09,13
498,2023-09-13,7278087,2,2023-09,13
499,2023-09-14,3904426,1,2023-09,14
500,2023-09-14,8354947,2,2023-09,14
501,2023-09-15,155178,1,2023-09,15
502,2023-09-15,16803017,2,2023-09,15
503,2023-09-16,11164639,2,2023-09,16
504,2023-09-16,9260,0,2023-09,16
505,2023-09-17,2319013,0,2023-09,17
506,2023-09-17,10497188,1,2023-09,17
507,2023-09-17,466537,2,2023-09,17
508,2023-09-18,2888994,1,2023-09,18
509,2023-09-18,3589624,0,2023-09,18
510,2023-09-18,8989563,2,2023-09,18
511,2023-09-19,16585152,2,2023-09,19
512,2023-09-19,1497374,0,2023-09,19
513,2023-09-20,1276683,2,2023-09,20
514,2023-09-20,5515601,0,2023-09,20
515,2023-09-21,2157540,2,2023-09,21
516,2023-09-21,3106253,1,2023-09,21
517,2023-09-21,2785597,0,2023-09,21
518,2023-09-22,4277884,2,2023-09,22
519,2023-09-22,3042846,0,2023-09,22
520,2023-09-23,7492505,1,2023-09,23
521,2023-09-23,2895341,0,2023-09,23
522,2023-09-24,3609485,0,2023-09,24
523,2023-09-24,1184172,2,2023-09,24
524,2023-09-24,882252,1,2023-09,24
525,2023-09-25,4704465,0,2023-09,25
526,2023-09-25,5628286,2,2023-09,25
527,2023-09-25,10063368,1,2023-09,25
528,2023-09-26,5106704,0,2023-09,26
529,2023-09-26,8024037,2,2023-09,26
530,2023-09-27,6641597,0,2023-09,27
531,2023-09-27,682080,2,2023-09,27
532,2023-09-27,971727,1,2023-09,27
533,2023-09-28,3640093,0,2023-09,28
534,2023-09-28,5884602,2,2023-09,28
535,2023-09-28,903474,1,2023-09,28
536,2023-09-29,3940718,0,2023-09,29
537,2023-09-29,9832511,2,2023-09,29
538,2023-09-29,4012953,1,2023-09,29
539,2023-09-30,369349,1,2023-09,30
540,2023-09-30,7213907,0,2023-09,30
541,2023-10-01,11716335,1,2023-10,1
542,2023-10-02,6572913,0,2023-10,2
543,2023-10-02,4208970,2,2023-10,2
544,2023-10-03,5549213,0,2023-10,3
545,2023-10-03,6146352,2,2023-10,3
546,2023-10-03,8001457,1,2023-10,3
547,2023-10-04,410738,0,2023-10,4
548,2023-10-04,5479052,2,2023-10,4
549,2023-10-05,11335300,2,2023-10,5
550,2023-10-05,2241572,0,2023-10,5
551,2023-10-06,1282674,1,2023-10,6
552,2023-10-06,1501437,0,2023-10,6
553,2023-10-06,13936055,2,2023-10,6
554,2023-10-07,2710078,2,2023-10,7
555,2023-10-07,9766900,1,2023-10,7
556,2023-10-07,3178644,0,2023-10,7
557,2023-10-08,7107521,1,2023-10,8
558,2023-10-08,4946264,0,2023-10,8
559,2023-10-09,1777785,2,2023-10,9
560,2023-10-09,4171677,0,2023-10,9
561,2023-10-09,3789571,1,2023-10,9
562,2023-10-10,405699,1,2023-10,10
563,2023-10-10,816422,2,2023-10,10
564,2023-10-10,3577831,0,2023-10,10
565,2023-10-11,4878006,0,2023-10,11
566,2023-10-11,210407,2,2023-10,11
567,2023-10-12,4996168,2,2023-10,12
568,2023-10-12,876093,0,2023-10,12
569,2023-10-13,11932635,2,2023-10,13
570,2023-10-13,4811795,0,2023-10,13
571,2023-10-13,5056425,1,2023-10,13
572,2023-10-14,1943130,0,2023-10,14
573,2023-10-14,662533,1,2023-10,14
574,2023-10-14,21217367,2,2023-10,14
575,2023-10-15,2222019,0,2023-10,15
576,2023-10-15,2523660,1,2023-10,15
577,2023-10-15,8209473,2,2023-10,15
578,2023-10-16,5602429,0,2023-10,16
579,2023-10-16,6407294,1,2023-10,16
580,2023-10-16,13587953,2,2023-10,16
581,2023-10-17,6139161,2,2023-10,17
582,2023-10-17,2243969,0,2023-10,17
583,2023-10-18,5754351,1,2023-10,18
584,2023-10-18,1445255,2,2023-10,18
585,2023-10-18,2609692,0,2023-10,18
586,2023-10-19,7205199,2,2023-10,19
587,2023-10-19,2545998,1,2023-10,19
588,2023-10-19,2209921,0,2023-10,19
589,2023-10-20,8601155,1,2023-10,20
590,2023-10-20,4602770,0,2023-10,20
591,2023-10-20,9376583,2,2023-10,20
592,2023-10-21,1005869,2,2023-10,21
593,2023-10-21,4015953,0,2023-10,21
594,2023-10-21,10072201,1,2023-10,21
595,2023-10-22,542258,0,2023-10,22
596,2023-10-22,3719657,2,2023-10,22
597,2023-10-22,1914081,1,2023-10,22
598,2023-10-23,2314629,0,2023-10,23
599,2023-10-23,4386414,1,2023-10,23
600,2023-10-23,4816353,2,2023-10,23
601,2023-10-24,9222265,2,2023-10,24
602,2023-10-24,3956809,1,2023-10,24
603,2023-10-24,4207355,0,2023-10,24
604,2023-10-25,4420386,0,2023-10,25
605,2023-10-25,1665223,2,2023-10,25
606,2023-10-26,2506401,0,2023-10,26
607,2023-10-26,17602896,2,2023-10,26
608,2023-10-26,3967021,1,2023-10,26
609,2023-10-27,3973205,2,2023-10,27
610,2023-10-27,3180058,0,2023-10,27
611,2023-10-27,5046548,1,2023-10,27
612,2023-10-28,2592414,0,2023-10,28
613,2023-10-28,22322229,2,2023-10,28
614,2023-10-29,6226589,2,2023-10,29
615,2023-10-29,713159,0,2023-10,29
616,2023-10-30,4104162,0,2023-10,30
617,2023-10-30,1061571,2,2023-10,30
618,2023-10-31,1104460,0,2023-10,31
619,2023-10-31,7559897,2,2023-10,31
620,2023-11-01,6700590,0,2023-11,1
621,2023-11-01,3612733,2,2023-11,1
622,2023-11-02,11396999,2,2023-11,2
623,2023-11-02,1631415,0,2023-11,2
624,2023-11-03,5121328,0,2023-11,3
625,2023-11-03,7434495,2,2023-11,3
626,2023-11-04,6460417,2,2023-11,4
627,2023-11-05,1876227,0,2023-11,5
628,2023-11-05,3036228,2,2023-11,5
629,2023-11-06,5197030,2,2023-11,6
